Cód.,Município,População (Pessoas)
2505907,Emas (PB),3539.0
2506004,Esperança (PB),33199.0
2506103,Fagundes (PB),11215.0
2506202,Frei Martinho (PB),2989.0
2506251,Gado Bravo (PB),8303.0
2506301,Guarabira (PB),59115.0
2506400,Gurinhém (PB),14127.0
2506509,Gurjão (PB),3453.0
2506608,Ibiara (PB),5903.0
2506707,Imaculada (PB),11848.0
2506806,Ingá (PB),18144.0
2506905,Itabaiana (PB),24419.0
2507002,Itaporanga (PB),24828.0
2507101,Itapororoca (PB),18823.0
2507200,Itatuba (PB),11016.0
2507309,Jacaraú (PB),14450.0
2507408,Jericó (PB),7745.0
2507507,João Pessoa (PB),817511.0
2507606,Juarez Távora (PB),7976.0
2507705,Juazeirinho (PB),18298.0
2507804,Junco do Seridó (PB),7195.0
2507903,Juripiranga (PB),10793.0
2508000,Juru (PB),9849.0
2508109,Lagoa (PB),4653.0
2508208,Lagoa de Dentro (PB),7737.0
2508307,Lagoa Seca (PB),27617.0
2508406,Lastro (PB),2718.0
2508505,Livramento (PB),7265.0
2508554,Logradouro (PB),4369.0
2508604,Lucena (PB),13214.0
2508703,Mãe d'Água (PB),3999.0
2508802,Malta (PB),5752.0
2508901,Mamanguape (PB),45136.0
2509008,Manaíra (PB),10972.0
2509057,Marcação (PB),8653.0
2509107,Mari (PB),21866.0
2509156,Marizópolis (PB),6654.0
2509206,Massaranduba (PB),13998.0
2509305,Mataraca (PB),8539.0
2509339,Matinhas (PB),4515.0
2509370,Mato Grosso (PB),2926.0
2509396,Maturéia (PB),6630.0
2509404,Mogeiro (PB),13261.0
2509503,Montadas (PB),5738.0
2509602,Monte Horebe (PB),4842.0
2509701,Monteiro (PB),33433.0
2509800,Mulungu (PB),9932.0
2509909,Natuba (PB),10451.0
2510006,Nazarezinho (PB),7286.0
2510105,Nova Floresta (PB),10626.0
2510204,Nova Olinda (PB),5920.0
2510303,Nova Palmeira (PB),4959.0
2510402,Olho d'Água (PB),6462.0
2510501,Olivedos (PB),3961.0
2510600,Ouro Velho (PB),3046.0
2510659,Parari (PB),1758.0
2510709,Passagem (PB),2436.0
2510808,Patos (PB),108192.0
2510907,Paulista (PB),12379.0
2511004,Pedra Branca (PB),3802.0
2511103,Pedra Lavrada (PB),7899.0
2511202,Pedras de Fogo (PB),28533.0
2511301,Piancó (PB),16111.0
2511400,Picuí (PB),18720.0
2511509,Pilar (PB),11977.0
2511608,Pilões (PB),6576.0
2511707,Pilõezinhos (PB),4955.0
2511806,Pirpirituba (PB),10584.0
2511905,Pitimbu (PB),19275.0
2512002,Pocinhos (PB),18708.0
2512036,Poço Dantas (PB),3882.0
2512077,Poço de José de Moura (PB),4337.0
2512101,Pombal (PB),32802.0
2512200,Prata (PB),4238.0
2512309,Princesa Isabel (PB),23549.0
2512408,Puxinanã (PB),13741.0
2512507,Queimadas (PB),44179.0
2512606,Quixaba (PB),1983.0
2512705,Remígio (PB),19798.0
2512721,Pedro Régis (PB),6114.0
2512747,Riachão (PB),3619.0
2512754,Riachão do Bacamarte (PB),4541.0
2512762,Riachão do Poço (PB),4540.0
2512788,Riacho de Santo Antônio (PB),1974.0
2512804,Riacho dos Cavalos (PB),8541.0
2512903,Rio Tinto (PB),24218.0
2513000,Salgadinho (PB),3931.0
2513109,Salgado de São Félix (PB),12131.0
2513158,Santa Cecília (PB),6541.0
2513208,Santa Cruz (PB),6581.0
2513307,Santa Helena (PB),5871.0
2513356,Santa Inês (PB),3593.0
2513406,Santa Luzia (PB),15426.0
2513505,Santana de Mangueira (PB),5129.0
2513604,Santana dos Garrotes (PB),6986.0
2513653,Joca Claudino (PB),2639.0
2513703,Santa Rita (PB),137349.0
2513802,Santa Teresinha (PB),4562.0
2513851,Santo André (PB),2509.0
2513901,São Bento (PB),34344.0
2513927,São Bentinho (PB),4566.0
2513943,São Domingos do Cariri (PB),2630.0
2513968,São Domingos (PB),3097.0
2513984,São Francisco (PB),3384.0
2514008,São João do Cariri (PB),4184.0
2514107,São João do Tigre (PB),4415.0
2514206,São José da Lagoa Tapada (PB),7626.0
2514305,São José de Caiana (PB),6376.0
2514404,São José de Espinharas (PB),4656.0
2514453,São José dos Ramos (PB),5998.0
2514503,São José de Piranhas (PB),20329.0
2514552,São José de Princesa (PB),3950.0
2514602,São José do Bonfim (PB),3588.0
2514651,São José do Brejo do Cruz (PB),1811.0
2514701,São José do Sabugi (PB),4147.0
2514800,São José dos Cordeiros (PB),3618.0
2514909,São Mamede (PB),7702.0
2515005,São Miguel de Taipu (PB),7410.0
2515104,São Sebastião de Lagoa de Roça (PB),11728.0
2515203,São Sebastião do Umbuzeiro (PB),3512.0
2515302,Sapé (PB),52804.0
2515401,São Vicente do Seridó (PB),10848.0
2515500,Serra Branca (PB),13754.0
2515609,Serra da Raiz (PB),3131.0
2515708,Serra Grande (PB),2916.0
2515807,Serra Redonda (PB),7021.0
2515906,Serraria (PB),6068.0
2515930,Sertãozinho (PB),5089.0
2515971,Sobrado (PB),7815.0
2516003,Solânea (PB),26227.0
2516102,Soledade (PB),15102.0
2516151,Sossêgo (PB),3594.0
2516201,Sousa (PB),69723.0
2516300,Sumé (PB),17031.0
2516409,Tacima (PB),10969.0
2516508,Taperoá (PB),15441.0
2516607,Tavares (PB),14759.0
2516706,Teixeira (PB),15248.0
2516755,Tenório (PB),3081.0
2516805,Triunfo (PB),9464.0
2516904,Uiraúna (PB),15300.0
2517001,Umbuzeiro (PB),9911.0
2517100,Várzea (PB),2841.0
2517209,Vieirópolis (PB),5372.0
2517407,Zabelê (PB),2255.0
2600054,Abreu e Lima (PE),100346.0
2600104,Afogados da Ingazeira (PE),37404.0
2600203,Afrânio (PE),19810.0
2600302,Agrestina (PE),25065.0
2600401,Água Preta (PE),37082.0
2600500,Águas Belas (PE),43686.0
2600609,Alagoinha (PE),14718.0
2600708,Aliança (PE),38397.0
2600807,Altinho (PE),22984.0
2600906,Amaraji (PE),22870.0
2601003,Angelim (PE),11226.0
2601052,Araçoiaba (PE),20733.0
2601102,Araripina (PE),84864.0
2601201,Arcoverde (PE),74822.0
2601300,Barra de Guabiraba (PE),14510.0
2601409,Barreiros (PE),42764.0
2601508,Belém de Maria (PE),12122.0
2601607,Belém do São Francisco (PE),20730.0
2601706,Belo Jardim (PE),76687.0
2601805,Betânia (PE),12765.0
2601904,Bezerros (PE),60880.0
2602001,Bodocó (PE),38378.0
2602100,Bom Conselho (PE),48767.0
2602209,Bom Jardim (PE),39983.0
2602308,Bonito (PE),38117.0
2602407,Brejão (PE),8987.0
2602506,Brejinho (PE),7488.0
2602605,Brejo da Madre de Deus (PE),51225.0
2602704,Buenos Aires (PE),13190.0
2602803,Buíque (PE),58919.0
2602902,Cabo de Santo Agostinho (PE),208944.0
2603009,Cabrobó (PE),34503.0
2603108,Cachoeirinha (PE),20501.0
2603207,Caetés (PE),28904.0
2603306,Calçado (PE),11018.0
2603405,Calumbi (PE),5747.0
2603454,Camaragibe (PE),158899.0
2603504,Camocim de São Félix (PE),18900.0
2603603,Camutanga (PE),8572.0
2603702,Canhotinho (PE),24773.0
2603801,Capoeiras (PE),20048.0
2603900,Carnaíba (PE),19609.0
2603926,Carnaubeira da Penha (PE),13025.0
2604007,Carpina (PE),84395.0
2604106,Caruaru (PE),365278.0
2604155,Casinhas (PE),14368.0
2604205,Catende (PE),43340.0
2604304,Cedro (PE),11891.0
2604403,Chã de Alegria (PE),13556.0
2604502,Chã Grande (PE),21815.0
2604601,Condado (PE),26590.0
2604700,Correntes (PE),18268.0
2604809,Cortês (PE),12560.0
2604908,Cumaru (PE),10192.0
2605004,Cupira (PE),24173.0
2605103,Custódia (PE),37375.0
2605152,Dormentes (PE),19079.0
2605202,Escada (PE),69292.0
2605301,Exu (PE),31766.0
2605400,Feira Nova (PE),22247.0
2605459,Fernando de Noronha (PE),3101.0
2605509,Ferreiros (PE),12170.0
2605608,Flores (PE),22618.0
2605707,Floresta (PE),33184.0
2605806,Frei Miguelinho (PE),15546.0
2605905,Gameleira (PE),31318.0
2606002,Garanhuns (PE),140577.0
2606101,Glória do Goitá (PE),30751.0
2606200,Goiana (PE),80055.0
2606309,Granito (PE),7537.0
2606408,Gravatá (PE),84699.0
2606507,Iati (PE),19241.0
2606606,Ibimirim (PE),29412.0
2606705,Ibirajuba (PE),7768.0
2606804,Igarassu (PE),118370.0
2606903,Iguaracy (PE),12247.0
2607000,Inajá (PE),23645.0
2607109,Ingazeira (PE),4543.0
2607208,Ipojuca (PE),97669.0
2607307,Ipubi (PE),31187.0
2607406,Itacuruba (PE),4966.0
2607505,Itaíba (PE),26308.0
2607604,Ilha de Itamaracá (PE),26672.0
2607653,Itambé (PE),36471.0
2607703,Itapetim (PE),13553.0
2607752,Itapissuma (PE),26900.0
2607802,Itaquitinga (PE),17006.0
2607901,Jaboatão dos Guararapes (PE),706867.0
2607950,Jaqueira (PE),11644.0
2608008,Jataúba (PE),17228.0
2608057,Jatobá (PE),14850.0
2608107,João Alfredo (PE),33328.0
2608206,Joaquim Nabuco (PE),16011.0
2608255,Jucati (PE),11485.0
2608305,Jupi (PE),14922.0
2608404,Jurema (PE),15431.0
2608453,Lagoa do Carro (PE),18252.0
2608503,Lagoa de Itaenga (PE),21460.0
2608602,Lagoa do Ouro (PE),13224.0
2608701,Lagoa dos Gatos (PE),16318.0
2608750,Lagoa Grande (PE),25849.0
2608800,Lajedo (PE),40589.0
2608909,Limoeiro (PE),56198.0
2609006,Macaparana (PE),25472.0
2609105,Machados (PE),16321.0
2609154,Manari (PE),21776.0
2609204,Maraial (PE),11220.0
2609303,Mirandiba (PE),15470.0
2609402,Moreno (PE),63294.0
2609501,Nazaré da Mata (PE),32573.0
2609600,Olinda (PE),393115.0
2609709,Orobó (PE),23935.0
2609808,Orocó (PE),15152.0
2609907,Ouricuri (PE),69969.0
2610004,Palmares (PE),63500.0
2610103,Palmeirina (PE),7600.0
2610202,Panelas (PE),26456.0
2610301,Paranatama (PE),11566.0
2610400,Parnamirim (PE),22106.0
2610509,Passira (PE),28894.0
2610608,Paudalho (PE),56933.0
2610707,Paulista (PE),334376.0
2610806,Pedra (PE),22668.0
2610905,Pesqueira (PE),67735.0
2611002,Petrolândia (PE),36901.0
2611101,Petrolina (PE),354317.0
2611200,Poção (PE),11305.0
2611309,Pombos (PE),27148.0
2611408,Primavera (PE),15101.0
2611507,Quipapá (PE),26175.0
2611533,Quixaba (PE),6805.0
2611606,Recife (PE),1653461.0
2611705,Riacho das Almas (PE),20646.0
2611804,Ribeirão (PE),47616.0
2611903,Rio Formoso (PE),23628.0
2612000,Sairé (PE),9764.0
2612109,Salgadinho (PE),11068.0
2612208,Salgueiro (PE),61249.0
2612307,Saloá (PE),15862.0
2612406,Sanharó (PE),26890.0
2612455,Santa Cruz (PE),15558.0
2612471,Santa Cruz da Baixa Verde (PE),12650.0
2612505,Santa Cruz do Capibaribe (PE),109897.0
2612554,Santa Filomena (PE),14562.0
2612604,Santa Maria da Boa Vista (PE),42100.0
2612703,Santa Maria do Cambucá (PE),14223.0
2612802,Santa Terezinha (PE),11865.0
2612901,São Benedito do Sul (PE),16069.0
2613008,São Bento do Una (PE),60042.0
2613107,São Caitano (PE),37368.0
2613206,São João (PE),22899.0
2613305,São Joaquim do Monte (PE),21398.0
2613404,São José da Coroa Grande (PE),21586.0
2613503,São José do Belmonte (PE),34021.0
2613602,São José do Egito (PE),34056.0
2613701,São Lourenço da Mata (PE),114079.0
2613800,São Vicente Férrer (PE),18085.0
2613909,Serra Talhada (PE),86915.0
2614006,Serrita (PE),19196.0
2614105,Sertânia (PE),36050.0
2614204,Sirinhaém (PE),46361.0
2614303,Moreilândia (PE),11270.0
2614402,Solidão (PE),6021.0
2614501,Surubim (PE),65647.0
2614600,Tabira (PE),28704.0
2614709,Tacaimbó (PE),12859.0
2614808,Tacaratu (PE),26106.0
2614857,Tamandaré (PE),23623.0
2615003,Taquaritinga do Norte (PE),29127.0
2615102,Terezinha (PE),7198.0
2615201,Terra Nova (PE),10206.0
2615300,Timbaúba (PE),52802.0
2615409,Toritama (PE),46164.0
2615508,Tracunhaém (PE),13813.0
2615607,Trindade (PE),30816.0
2615706,Triunfo (PE),15243.0
2615805,Tupanatinga (PE),27551.0
2615904,Tuparetama (PE),8256.0
2616001,Venturosa (PE),18661.0
2616100,Verdejante (PE),9553.0
2616183,Vertente do Lério (PE),7571.0
2616209,Vertentes (PE),20954.0
2616308,Vicência (PE),32772.0
2616407,Vitória de Santo Antão (PE),139583.0
2616506,Xexéu (PE),14757.0
2700102,Água Branca (AL),20230.0
2700201,Anadia (AL),17526.0
2700300,Arapiraca (AL),233047.0
2700409,Atalaia (AL),47365.0
2700508,Barra de Santo Antônio (AL),16068.0
2700607,Barra de São Miguel (AL),8378.0
2700706,Batalha (AL),18338.0
2700805,Belém (AL),4284.0
2700904,Belo Monte (AL),6710.0
2701001,Boca da Mata (AL),27356.0
2701100,Branquinha (AL),10460.0
2701209,Cacimbinhas (AL),10889.0
2701308,Cajueiro (AL),21331.0
2701357,Campestre (AL),6954.0
2701407,Campo Alegre (AL),57537.0
2701506,Campo Grande (AL),9567.0
2701605,Canapi (AL),17719.0
2701704,Capela (AL),16979.0
2701803,Carneiros (AL),9159.0
2701902,Chã Preta (AL),7311.0
2702009,Coité do Nóia (AL),10643.0
2702108,Colônia Leopoldina (AL),21818.0
2702207,Coqueiro Seco (AL),5864.0
2702306,Coruripe (AL),57294.0
2702355,Craíbas (AL),24309.0
2702405,Delmiro Gouveia (AL),52262.0
2702504,Dois Riachos (AL),11067.0
2702553,Estrela de Alagoas (AL),18255.0
2702603,Feira Grande (AL),22178.0
2702702,Feliz Deserto (AL),4779.0
2702801,Flexeiras (AL),12807.0
2702900,Girau do Ponciano (AL),41237.0
2703007,Ibateguara (AL),15627.0
2703106,Igaci (AL),25613.0
2703205,Igreja Nova (AL),24586.0
2703304,Inhapi (AL),18392.0
2703403,Jacaré dos Homens (AL),5219.0
2703502,Jacuípe (AL),7006.0
2703601,Japaratinga (AL),8403.0
2703700,Jaramataia (AL),5761.0
2703759,Jequiá da Praia (AL),11536.0
2703809,Joaquim Gomes (AL),24081.0
2703908,Jundiá (AL),4137.0
2704005,Junqueiro (AL),24722.0
2704104,Lagoa da Canoa (AL),17771.0
2704203,Limoeiro de Anadia (AL),28771.0
2704302,Maceió (AL),1025360.0
2704401,Major Isidoro (AL),19864.0
2704500,Maragogi (AL),33032.0
2704609,Maravilha (AL),9004.0
2704708,Marechal Deodoro (AL),52380.0
2704807,Maribondo (AL),13193.0
2704906,Mar Vermelho (AL),3494.0
2705002,Mata Grande (AL),25207.0
2705101,Matriz de Camaragibe (AL),24634.0
2705200,Messias (AL),18031.0
2705309,Minador do Negrão (AL),5322.0
2705408,Monteirópolis (AL),7165.0
2705507,Murici (AL),28333.0
2705606,Novo Lino (AL),12764.0
2705705,Olho d'Água das Flores (AL),21738.0
2705804,Olho d'Água do Casado (AL),9441.0
2705903,Olho d'Água Grande (AL),5128.0
2706000,Olivença (AL),11657.0
2706109,Ouro Branco (AL),11535.0
2706208,Palestina (AL),5037.0
2706307,Palmeira dos Índios (AL),73337.0
2706406,Pão de Açúcar (AL),24351.0
2706422,Pariconha (AL),10539.0
2706448,Paripueira (AL),13332.0
2706505,Passo de Camaragibe (AL),15258.0
2706604,Paulo Jacinto (AL),7560.0
2706703,Penedo (AL),63846.0
2706802,Piaçabuçu (AL),17848.0
2706901,Pilar (AL),35212.0
2707008,Pindoba (AL),2905.0
2707107,Piranhas (AL),25183.0
2707206,Poço das Trincheiras (AL),14418.0
2707305,Porto Calvo (AL),27249.0
2707404,Porto de Pedras (AL),7701.0
2707503,Porto Real do Colégio (AL),20112.0
2707602,Quebrangulo (AL),11248.0
2707701,Rio Largo (AL),75394.0
2707800,Roteiro (AL),6649.0
2707909,Santa Luzia do Norte (AL),7320.0
2708006,Santana do Ipanema (AL),47819.0
2708105,Santana do Mundaú (AL),10687.0
2708204,São Brás (AL),6969.0
2708303,São José da Laje (AL),23996.0
2708402,São José da Tapera (AL),32405.0
2708501,São Luís do Quitunde (AL),34692.0
2708600,São Miguel dos Campos (AL),61797.0
2708709,São Miguel dos Milagres (AL),8013.0
2708808,São Sebastião (AL),34290.0
2708907,Satuba (AL),13936.0
2708956,Senador Rui Palmeira (AL),13921.0
2709004,Tanque d'Arca (AL),6138.0
2709103,Taquarana (AL),20072.0
2709152,Teotônio Vilela (AL),44372.0
2709202,Traipu (AL),27826.0
2709301,União dos Palmares (AL),65790.0
2709400,Viçosa (AL),25693.0
2800100,Amparo do São Francisco (SE),2380.0
2800209,Aquidabã (SE),21681.0
2800308,Aracaju (SE),664908.0
2800407,Arauá (SE),9947.0
2800506,Areia Branca (SE),18686.0
2800605,Barra dos Coqueiros (SE),30930.0
2800670,Boquim (SE),26899.0
2800704,Brejo Grande (SE),8353.0
2801009,Campo do Brito (SE),18218.0
2801108,Canhoba (SE),4006.0
2801207,Canindé de São Francisco (SE),30402.0
2801306,Capela (SE),34514.0
2801405,Carira (SE),22239.0
2801504,Carmópolis (SE),16937.0
2801603,Cedro de São João (SE),5913.0
2801702,Cristinápolis (SE),18029.0
2801900,Cumbe (SE),3998.0
2802007,Divina Pastora (SE),5215.0
2802106,Estância (SE),69556.0
2802205,Feira Nova (SE),5601.0
2802304,Frei Paulo (SE),15556.0
2802403,Gararu (SE),11601.0
2802502,General Maynard (SE),3384.0
2802601,Gracho Cardoso (SE),5824.0
2802700,Ilha das Flores (SE),8521.0
2802809,Indiaroba (SE),18149.0
2802908,Itabaiana (SE),96142.0
2803005,Itabaianinha (SE),42166.0
2803104,Itabi (SE),4886.0
2803203,Itaporanga d'Ajuda (SE),34709.0
2803302,Japaratuba (SE),18907.0
2803401,Japoatã (SE),13429.0
2803500,Lagarto (SE),105221.0
2803609,Laranjeiras (SE),30080.0
2803708,Macambira (SE),6961.0
2803807,Malhada dos Bois (SE),3699.0
2803906,Malhador (SE),12653.0
2804003,Maruim (SE),17271.0
2804102,Moita Bonita (SE),11348.0
2804201,Monte Alegre de Sergipe (SE),15175.0
2804300,Muribeca (SE),7639.0
2804409,Neópolis (SE),18703.0
2804458,Nossa Senhora Aparecida (SE),8809.0
2804508,Nossa Senhora da Glória (SE),37324.0
2804607,Nossa Senhora das Dores (SE),26795.0
2804706,Nossa Senhora de Lourdes (SE),6496.0
2804805,Nossa Senhora do Socorro (SE),185706.0
2804904,Pacatuba (SE),14540.0
2805000,Pedra Mole (SE),3285.0
2805109,Pedrinhas (SE),9665.0
2805208,Pinhão (SE),6627.0
2805307,Pirambu (SE),9359.0
2805406,Poço Redondo (SE),35122.0
2805505,Poço Verde (SE),23867.0
2805604,Porto da Folha (SE),28693.0
2805703,Propriá (SE),29692.0
2805802,Riachão do Dantas (SE),19809.0
2805901,Riachuelo (SE),10284.0
2806008,Ribeirópolis (SE),18773.0
2806107,Rosário do Catete (SE),11008.0
2806206,Salgado (SE),20025.0
2806305,Santa Luzia do Itanhy (SE),14121.0
2806404,Santana do São Francisco (SE),7844.0
2806503,Santa Rosa de Lima (SE),3923.0
2806602,Santo Amaro das Brotas (SE),12151.0
2806701,São Cristóvão (SE),91093.0
2806800,São Domingos (SE),11207.0
2806909,São Francisco (SE),3781.0
2807006,São Miguel do Aleixo (SE),3947.0
2807105,Simão Dias (SE),40606.0
2807204,Siriri (SE),8970.0
2807303,Telha (SE),3249.0
2807402,Tobias Barreto (SE),52530.0
2807501,Tomar do Geru (SE),13535.0
2807600,Umbaúba (SE),25550.0
2900108,Abaíra (BA),8710.0
2900207,Abaré (BA),20347.0
2900306,Acajutiba (BA),15187.0
2900355,Adustina (BA),17126.0
2900405,Água Fria (BA),17033.0
2900504,Érico Cardoso (BA),10560.0
2900603,Aiquara (BA),4416.0
2900702,Alagoinhas (BA),152327.0
2900801,Alcobaça (BA),22490.0
2900900,Almadina (BA),5366.0
2901007,Amargosa (BA),37441.0
2901106,Amélia Rodrigues (BA),25048.0
2901155,América Dourada (BA),16090.0
2901205,Anagé (BA),21607.0
2901304,Andaraí (BA),13132.0
2901353,Andorinha (BA),14503.0
2901403,Angical (BA),13938.0
2901502,Anguera (BA),11297.0
2901601,Antas (BA),19479.0
2901700,Antônio Cardoso (BA),11677.0
2901809,Antônio Gonçalves (BA),11878.0
2901908,Aporá (BA),17788.0
2901957,Apuarema (BA),7302.0
2902005,Aracatu (BA),13045.0
2902054,Araçás (BA),12208.0
2902104,Araci (BA),54648.0
2902203,Aramari (BA),11461.0
2902252,Arataca (BA),10961.0
2902302,Aratuípe (BA),8837.0
2902401,Aurelino Leal (BA),11299.0
2902500,Baianópolis (BA),13929.0
2902609,Baixa Grande (BA),20449.0
2902658,Banzaê (BA),13240.0
2902708,Barra (BA),53910.0
2902807,Barra da Estiva (BA),20392.0
2902906,Barra do Choça (BA),31209.0
2903003,Barra do Mendes (BA),13833.0
2903102,Barra do Rocha (BA),5612.0
2903201,Barreiras (BA),156975.0
2903235,Barro Alto (BA),15054.0
2903276,Barrocas (BA),16105.0
2903300,Barro Preto (BA),5448.0
2903409,Belmonte (BA),23437.0
2903508,Belo Campo (BA),17109.0
2903607,Biritinga (BA),15984.0
2903706,Boa Nova (BA),12329.0
2903805,Boa Vista do Tupim (BA),18531.0
2903904,Bom Jesus da Lapa (BA),69662.0
2903953,Bom Jesus da Serra (BA),9823.0
2904001,Boninal (BA),14446.0
2904050,Bonito (BA),16884.0
2904100,Boquira (BA),21497.0
2904209,Botuporã (BA),10129.0
2904308,Brejões (BA),14222.0
2904407,Brejolândia (BA),10618.0
2904506,Brotas de Macaúbas (BA),10130.0
2904605,Brumado (BA),67335.0
2904704,Buerarema (BA),18306.0
2904753,Buritirama (BA),21276.0
2904803,Caatiba (BA),6488.0
2904852,Cabaceiras do Paraguaçu (BA),18911.0
2904902,Cachoeira (BA),33567.0
2905008,Caculé (BA),23291.0
2905107,Caém (BA),9058.0
2905156,Caetanos (BA),14608.0
2905206,Caetité (BA),51081.0
2905305,Cafarnaum (BA),18513.0
2905404,Cairu (BA),18427.0
2905503,Caldeirão Grande (BA),13391.0
2905602,Camacan (BA),32006.0
2905701,Camaçari (BA),304302.0
2905800,Camamu (BA),35382.0
2905909,Campo Alegre de Lourdes (BA),28820.0
2906006,Campo Formoso (BA),71487.0
2906105,Canápolis (BA),9703.0
2906204,Canarana (BA),26325.0
2906303,Canavieiras (BA),30906.0
2906402,Candeal (BA),8181.0
2906501,Candeias (BA),87458.0
2906600,Candiba (BA),14368.0
2906709,Cândido Sales (BA),25053.0
2906808,Cansanção (BA),34882.0
2906824,Canudos (BA),16753.0
2906857,Capela do Alto Alegre (BA),11616.0
2906873,Capim Grosso (BA),30862.0
2906899,Caraíbas (BA),8801.0
2906907,Caravelas (BA),22093.0
2907004,Cardeal da Silva (BA),9346.0
2907103,Carinhanha (BA),29070.0
2907202,Casa Nova (BA),72545.0
2907301,Castro Alves (BA),26318.0
2907400,Catolândia (BA),3599.0
2907509,Catu (BA),54970.0
2907558,Caturama (BA),9316.0
2907608,Central (BA),17280.0
2907707,Chorrochó (BA),11200.0
2907806,Cícero Dantas (BA),32576.0
2907905,Cipó (BA),17352.0
2908002,Coaraci (BA),16549.0
2908101,Cocos (BA),18807.0
2908200,Conceição da Feira (BA),22762.0
2908309,Conceição do Almeida (BA),17165.0
2908408,Conceição do Coité (BA),67013.0
2908507,Conceição do Jacuípe (BA),33398.0
2908606,Conde (BA),26035.0
2908705,Condeúba (BA),17178.0
2908804,Contendas do Sincorá (BA),4045.0
2908903,Coração de Maria (BA),22495.0
2909000,Cordeiros (BA),8642.0
2909109,Coribe (BA),14149.0
2909208,Coronel João Sá (BA),15717.0
2909307,Correntina (BA),32191.0
2909406,Cotegipe (BA),13769.0
2909505,Cravolândia (BA),5351.0
2909604,Crisópolis (BA),21163.0
2909703,Cristópolis (BA),13947.0
2909802,Cruz das Almas (BA),63591.0
2909901,Curaçá (BA),34886.0
2910008,Dário Meira (BA),10525.0
2910057,Dias d'Ávila (BA),82432.0
2910107,Dom Basílio (BA),12240.0
2910206,Dom Macedo Costa (BA),4065.0
2910305,Elísio Medrado (BA),8126.0
2910404,Encruzilhada (BA),16446.0
2910503,Entre Rios (BA),41901.0
2910602,Esplanada (BA),37578.0
2910701,Euclides da Cunha (BA),60858.0
2910727,Eunápolis (BA),114396.0
2910750,Fátima (BA),17845.0
2910776,Feira da Mata (BA),5661.0
2910800,Feira de Santana (BA),619609.0
2910859,Filadélfia (BA),16345.0
2910909,Firmino Alves (BA),5629.0
2911006,Floresta Azul (BA),10575.0
2911105,Formosa do Rio Preto (BA),25857.0
2911204,Gandu (BA),32596.0
2911253,Gavião (BA),4440.0
2911303,Gentio do Ouro (BA),11259.0
2911402,Glória (BA),15234.0
2911501,Gongogi (BA),6985.0
2911600,Governador Mangabeira (BA),20762.0
2911659,Guajeru (BA),6646.0
2911709,Guanambi (BA),84928.0
2911808,Guaratinga (BA),20700.0
2911857,Heliópolis (BA),12987.0
2911907,Iaçu (BA),24121.0
2912004,Ibiassucê (BA),9031.0
2912103,Ibicaraí (BA),21378.0
2912202,Ibicoara (BA),19786.0
2912301,Ibicuí (BA),16230.0
2912400,Ibipeba (BA),18319.0
2912509,Ibipitanga (BA),14947.0
2912608,Ibiquera (BA),4046.0
2912707,Ibirapitanga (BA),23404.0
2912806,Ibirapuã (BA),8690.0
2912905,Ibirataia (BA),14882.0
2913002,Ibitiara (BA),16403.0
2913101,Ibititá (BA),17080.0
2913200,Ibotirama (BA),27003.0
2913309,Ichu (BA),6220.0
2913408,Igaporã (BA),15650.0
2913457,Igrapiúna (BA),13091.0
2913507,Iguaí (BA),26963.0
2913606,Ilhéus (BA),159923.0
2913705,Inhambupe (BA),40333.0
2913804,Ipecaetá (BA),14354.0
2913903,Ipiaú (BA),45922.0
2914000,Ipirá (BA),59435.0
2914109,Ipupiara (BA),9911.0
2914208,Irajuba (BA),7279.0
2914307,Iramaia (BA),8197.0
2914406,Iraquara (BA),25478.0
2914505,Irará (BA),29173.0
2914604,Irecê (BA),73524.0
2914653,Itabela (BA),30747.0
2914703,Itaberaba (BA),64646.0
2914802,Itabuna (BA),213685.0
2914901,Itacaré (BA),28684.0
2915007,Itaeté (BA),16110.0
2915106,Itagi (BA),12242.0
2915205,Itagibá (BA),14452.0
2915304,Itagimirim (BA),6825.0
2915353,Itaguaçu da Bahia (BA),14542.0
2915403,Itaju do Colônia (BA),6596.0
2915502,Itajuípe (BA),20398.0
2915601,Itamaraju (BA),64455.0
2915700,Itamari (BA),8003.0
2915809,Itambé (BA),22754.0
2915908,Itanagra (BA),6436.0
2916005,Itanhém (BA),19316.0
2916104,Itaparica (BA),22337.0
2916203,Itapé (BA),8526.0
2916302,Itapebi (BA),10215.0
2916401,Itapetinga (BA),76795.0
2916500,Itapicuru (BA),35883.0
2916609,Itapitanga (BA),10298.0
2916708,Itaquara (BA),8347.0
2916807,Itarantim (BA),19843.0
2916856,Itatim (BA),14539.0
2916906,Itiruçu (BA),12528.0
2917003,Itiúba (BA),36116.0
2917102,Itororó (BA),20388.0
2917201,Ituaçu (BA),19030.0
2917300,Ituberá (BA),28740.0
2917334,Iuiu (BA),11016.0
2917359,Jaborandi (BA),8277.0
2917409,Jacaraci (BA),14850.0
2917508,Jacobina (BA),80635.0
2917607,Jaguaquara (BA),54673.0
2917706,Jaguarari (BA),33746.0
2917805,Jaguaripe (BA),18981.0
2917904,Jandaíra (BA),10726.0
2918001,Jequié (BA),156126.0
2918100,Jeremoabo (BA),40651.0
2918209,Jiquiriçá (BA),14557.0
2918308,Jitaúna (BA),10808.0
2918357,João Dourado (BA),25402.0
2918407,Juazeiro (BA),218162.0
